SSID: TUD-facility, BSSID: d0:4d:c6:f2:ed:52, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:ec:30, RSSI: -74
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:a8:11, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:ed:51, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:52, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e5:c1, RSSI: -67
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -82
SSID: TUD-facility, BSSID: 1c:28:af:61:e5:c2, RSSI: -71
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:61:e5:c0, RSSI: -62
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c3:31, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -76
SSID: TUD-facility, BSSID: 1c:28:af:65:c3:32, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -75
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:21, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -76
SSID: eduroam, BSSID: d0:4d:c6:f3:03:b0, RSSI: -62
SSID: eduroam, BSSID: 1c:28:af:65:c3:30, RSSI: -74
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -75
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:b1, RSSI: -63
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:b2, RSSI: -63
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -69
SSID: tudelft-dastud, BSSID: 1c:28:af:66:03:51, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:66:03:52, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -74
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:a8:01, RSSI: -83
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -67
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -75
SSID: eduroam, BSSID: 1c:28:af:66:03:50, RSSI: -75
SSID: eduroam, BSSID: d0:4d:c6:f2:a8:00, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:a8:10, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -61
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -61
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -61
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -83
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -75
