SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -70
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -64
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -64
SSID: TUD-facility, BSSID: 1c:28:af:62:04:a2, RSSI: -64
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f3:02:40, RSSI: -75
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -83
SSID: tudelft-dastud, BSSID: 1c:28:af:61:f9:01, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:61:f9:02, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:61:f9:00, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -94
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -93
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -97
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -73
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:31, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:32, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -65
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -65
SSID: eduroam, BSSID: 1c:28:af:65:ec:30, RSSI: -79
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -65
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -67
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -67
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -64
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -65
SSID: TUD-facility, BSSID: 1c:28:af:62:04:a2, RSSI: -66
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -81
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -81
SSID: tudelft-dastud, BSSID: 1c:28:af:61:f9:01, RSSI: -90
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -81
