SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:02:41, RSSI: -88
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:42, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:61:f9:01, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:61:f9:02, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:f9:00, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:61:fc:42, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:61:fc:41, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:b2, RSSI: -93
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -66
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:b1, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -66
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:61:ec:b0, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:61:fc:40, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:d1, RSSI: -90
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -68
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -68
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -68
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:42, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:b2, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:b1, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:5c:00, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:61:ef:d2, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ef:d1, RSSI: -94
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:a1, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:a2, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:36:a0, RSSI: -91
