SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f1:02, RSSI: -76
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:01, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:a2, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:a1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:61:ec:a0, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -59
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -59
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -59
SSID: Pixel_9827, BSSID: 36:39:b2:f4:c7:c5, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:ec:b0, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:d1, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:d2, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:72, RSSI: -92
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:c2, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:33:d0, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -69
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -72
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -72
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -72
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:e6:f0, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -80
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -81
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -49
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -50
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -50
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -58
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -58
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -58
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f3:03:b0, RSSI: -94
