SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -56
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:d1, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:d2, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:72, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:c1, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:c2, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:c0, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:33:d0, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:65:d0:b0, RSSI: -91
SSID: Amir OnePlus , BSSID: da:99:90:83:24:8b, RSSI: -84
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -72
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -71
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -72
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:f1:10, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:42, RSSI: -83
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:11, RSSI: -83
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f1:12, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:33:c0, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:b2, RSSI: -87
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:b1, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:e2, RSSI: -84
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5a:62, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:e6:e0, RSSI: -84
SSID: JB-DIRECT, BSSID: 00:f4:8d:90:93:a1, RSSI: -96
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:e1, RSSI: -83
SSID: TUD-facility, BSSID: 1c:28:af:61:ef:d2, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ef:d1, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:a1, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:a2, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:36:a0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -73
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a5:52, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f1:5d:70, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:5d:71, RSSI: -88
SSID: eduroam, BSSID: d0:4d:c6:f2:5a:70, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f1:9f:a0, RSSI: -83
SSID: TUD-facility, BSSID: d0:4d:c6:f1:5d:72, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:9f:a1, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5a:72, RSSI: -95
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:e6:f0, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:b1:00, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f3:03:a0, RSSI: -77
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:a1, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:a2, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -93
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:70, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -64
SSID: eduroam, BSSID: d0:4d:c6:f1:d7:70, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -73
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:fc:50, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fc:51, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:a5:51, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:a5:50, RSSI: -95
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:f1, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:e1:f0, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:f2, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:fc:52, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -73
SSID: eduroam, BSSID: d0:4d:c6:f2:34:e0, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -73
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:e2, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:e1, RSSI: -84
SSID: TUD-facility, BSSID: 1c:28:af:65:ce:32, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ce:31, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:d7:61, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f1:d7:62, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f1:d7:60, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:66:04:92, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f7:31, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:66:04:90, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:66:04:91, RSSI: -93
SSID: eduroam, BSSID: d0:4d:c6:f2:f7:30, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:61:e5:d2, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:61:e5:d0, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e5:d1, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -90
SSID: SmartLife-5DFF, BSSID: 86:cc:a8:b8:5d:ff, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:66:03:41, RSSI: -87
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:61:e5:c0, RSSI: -81
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:21, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:c3:30, RSSI: -67
SSID: eduroam, BSSID: d0:4d:c6:f3:03:b0, RSSI: -67
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -83
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:b1, RSSI: -68
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:b2, RSSI: -68
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -72
SSID: TUD-facility, BSSID: 1c:28:af:62:04:a2, RSSI: -81
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -76
SSID: moto g73 5G_6343, BSSID: 3e:60:75:72:70:a2, RSSI: -88
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:66:03:50, RSSI: -85
